NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Dragon Ball Super, Vol. 1|1|1|/viz/dragon-ball-super/dragon-ball-super-01.jpg|192|9.99|USD|2017-05-02|Having defeated Boo, Goku is starting to get bored with his life on Earth. His wife, Chi-chi, wants him to get a job, but all he wants to do is train and fight stronger enemies. Elsewhere in the universe, the God of Destruction, Beerus, and his attendant Whis are traveling from planet to planet in search of food and entertainment. After blowing up some hapless victims, Beerus is reminded of a man from his dreams with the moniker “Super Saiyan God,” or something like that... The God of Destruction sets his sights on Earth to track down this mysterious man! Maybe this will give Goku something to do?|978-1-4215-9254-1|1|FALSE
Dragon Ball Super, Vol. 2|2|2|/viz/dragon-ball-super/dragon-ball-super-02.jpg|216|9.99|USD|2017-12-05|The Universe 6 and 7 Invitational Fighting Tournament continues. Goku faces off against a guy who looks exactly like Freeza. Heck, the guy even has the same transformations and powers as Freeza! Will Goku and the warriors from Universe 7 be able to pull through and win the tournament and its prize—the Super Dragon Balls?!|978-1-4215-9647-1|1|FALSE
Dragon Ball Super, Vol. 3|3|3|/viz/dragon-ball-super/dragon-ball-super-03.jpg|208|9.99|USD|2018-07-03|With the Universe 6 and 7 Invitational Fighting Tournament over, Goku and his friends return to their normal lives. That is, until Future Trunks suddenly appears to warn everyone of a new threat—Goku Black, a mysterious warrior who looks like Goku, but isn’t him! He’s a monster who has wiped out most of Earth and all of the Gods of Destruction and Lords of Lords from all twelve universes. Who is this mysterious man, and will Goku and his friends be able to stop him?!|978-1-4215-9946-5|1|FALSE
Dragon Ball Super, Vol. 4|4|4|/viz/dragon-ball-super/dragon-ball-super-04.jpg|200|9.99|USD|2019-01-01|Goku Black’s identity has been revealed as Zamas, the lord of lords from Universe 10! But he’s not alone—his counterpart from the parallel universe has teamed up with him and, thanks to the super Dragon Balls, they are nearly unstoppable! In the present, Goku trains with Master Roshi to perfect the Mafū-ba and seal Zamas away. Meanwhile, Kaiô-shin takes Lord Gowas, Zamas’s mentor, to the parallel universe to try and push his former pupil back to being good!|978-1-9747-0144-5|1|FALSE
Dragon Ball Super, Vol. 5|5|5|/viz/dragon-ball-super/dragon-ball-super-05.jpg|192|9.99|USD|2019-05-07|The battle for the fate of the parallel world rages on! With Vegeta injured and his fusion with Goku failed, Goku must face off against God Zamas alone. But this enemy is unrelenting and powerful, and seems to be too strong—even for Goku! Will Goku and his friends be able to put a stop to this evil god once and for all?!|978-1-9747-0458-3|1|FALSE
Dragon Ball Super, Vol. 6|6|6|/viz/dragon-ball-super/dragon-ball-super-06.jpg|192|9.99|USD|2019-09-03|The Lords of Everything are about to host the Tournament of Power! The Zen Exhibition Match between the Gods of Destruction comes to an end, and the rules for the main event are set. The penalty for the losing universes? Complete destruction. Which means Goku and friends had better pick Universe 7's ten mightiest warriors and win—no gods allowed!|978-1-9747-0520-7|1|FALSE
Dragon Ball Super, Vol. 7|7|7|/viz/dragon-ball-super/dragon-ball-super-07.jpg|192|9.99|USD|2019-12-03|The Tournament of Power is about to begin! Warriors from all the universes gather to fight for their lives and the lives of everyone in their universes! Many fighters are eliminated almost immediately while Goku tries to garner the attention of Universe 11’s strongest fighter, Jiren. But Jiren doesn’t seem to care one bit about Goku! Will Universe 7 survive?!|978-1-9747-0777-5|1|FALSE
Dragon Ball Super, Vol. 8|8|8|/viz/dragon-ball-super/dragon-ball-super-08.jpg|200|9.99|USD|2020-03-03|The greatest warriors from across all of the universes are gathered at the Tournament of Power. Kale, a Saiyan from Universe 6, is on a rampage that’s leading to the erasure of one universe after another. Meanwhile, Goku and the five remaining fighters from Universe 7 are still intent on surviving the battle and saving everything and everyone they know!|978-1-9747-0941-0|1|FALSE
Dragon Ball Super, Vol. 9|9|9|/viz/dragon-ball-super/dragon-ball-super-09.jpg|192|9.99|USD|2020-06-02|The Tournament of Power is nearing its end, and only a few warriors from Universe 7 remain to fight Universe 11’s Jiren. Goku struggles against Jiren’s endless onslaught of attacks, and things start to look grim. It seems like the only way Goku can defeat him is by tapping into the power of Ultra Instinct—something he’s never been able to do before! Will he be able to master it in time to defeat Jiren and save Universe 7?! Meanwhile, back on Earth, Boo is about to get Boo-napped!|978-1-9747-1236-6|1|FALSE
Dragon Ball Super, Vol. 10|10|10|/viz/dragon-ball-super/dragon-ball-super-10.jpg|192|9.99|USD|2020-09-01|The Tournament of Power is over and Goku and Vegeta have embarked on a new adventure…in space! The Galactic Patrol experiences its worst prison break ever, and the evil Moro—a planet-eating monster—escapes! Moro’s goal is attaining the Dragon Balls of New Namek, and it’s up to Goku, Vegeta and the Galactic Patrol to stop him! But how can they do anything when Moro can drain them of their energy just by being near them?!|978-1-9747-1526-8|1|FALSE
