NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Jujutsu Kaisen 0|0|0|/viz/jujutsu-kaisen/jujutsu-kaisen-00.jpg|200|9.99|USD|2021-01-05|Yuta Okkotsu is a nervous high school student who is suffering from a serious problem—his childhood friend Rika has turned into a Curse and won't leave him alone. Since Rika is no ordinary Curse, his plight is noticed by Satoru Gojo, a teacher at Jujutsu High, a school where fledgling exorcists learn how to combat Curses. Gojo convinces Yuta to enroll, but can he learn enough in time to confront the Curse that haunts him?|978-1-9747-2014-9|1|false
Jujutsu Kaisen, Vol. 1|1|1|/viz/jujutsu-kaisen/jujutsu-kaisen-01.jpg|192|9.99|USD|2019-12-03|Although Yuji Itadori looks like your average teenager, his immense physical strength is something to behold! Every sports club wants him to join, but Itadori would rather hang out with the school outcasts in the Occult Research Club. One day, the club manages to get their hands on a sealed cursed object. Little do they know the terror they’ll unleash when they break the seal…|978-1-9747-1002-7|1|false
Jujutsu Kaisen, Vol. 2|2|2|/viz/jujutsu-kaisen/jujutsu-kaisen-02.jpg|192|9.99|USD|2020-02-04|When a cursed womb appears at a detention facility, Jujutsu High dispatches Itadori and the other first-years to handle the situation. However, the curse they encounter is far stronger than they ever expected! Itadori and friends now have two options: run and maybe live, or fight and die. While they are distracted, powerful curses with mysterious designs on Jujutsu High and Satoru Gojo are gathering…|978-1-9747-1003-4|1|false
Jujutsu Kaisen, Vol. 3|3|3|/viz/jujutsu-kaisen/jujutsu-kaisen-03.jpg|192|9.99|USD|2020-04-07|Tensions are high as the Goodwill Event between the Tokyo and Kyoto campuses of Jujutsu High approaches. But before the competition can even begin, a couple of Kyoto students confront Fushiguro and Kugisaki. Meanwhile, Yuji’s training gets interrupted by a mysterious crime involving grotesque bodily alterations caused by a cursed spirit...|978-1-9747-1004-1|1|false
Jujutsu Kaisen, Vol. 4|4|4|/viz/jujutsu-kaisen/jujutsu-kaisen-04.jpg|200|9.99|USD|2020-06-02|While investigating a strange set of mysterious deaths, Itadori meets Junpei, a troubled kid who is often bullied at school. However, Junpei is also befriended by the culprit behind the bloody incident—Mahito, a mischievous cursed spirit! Mahito sets in motion a devious plan involving Junpei, hoping to ensnare Itadori as well.|978-1-9747-1480-3|1|false
Jujutsu Kaisen, Vol. 5|5|5|/viz/jujutsu-kaisen/jujutsu-kaisen-05.jpg|192|9.99|USD|2020-08-04|Everyone’s surprised (and not necessarily in a good way) when they find out Itadori is still alive, but there’s no time for a heartwarming reunion when Jujutsu High is in the midst of an intense competition with their rivals from Kyoto! But good sportsmanship doesn’t seem to be in the cards once the authorities decide to eliminate the Sukuna threat once and for all...|978-1-9747-1481-0|1|false
Jujutsu Kaisen, Vol. 6|6|6|/viz/jujutsu-kaisen/jujutsu-kaisen-06.jpg|192|9.99|USD|2020-10-06|During the Goodwill Event, the Kyoto School's authorities order their students to assassinate Itadori. However, Mahito and a horde of special grade curses and curse users complicate matters by attacking the students. The teachers move quickly to counterattack but find themselves cut off by a barrier. Can the students survive this demonic onslaught?!|978-1-9747-1482-7|1|false
Jujutsu Kaisen, Vol. 7|7|7|/viz/jujutsu-kaisen/jujutsu-kaisen-07.jpg|192|9.99|USD|2020-12-01|Despite the injuries and losses they suffered in an attack on the Goodwill Event, the students of Jujutsu High have little time rest as people start dying under mysterious circumstances. Could these strange deaths have anything to do with Sukuna's lost fingers?|978-1-9747-1711-8|1|false
Jujutsu Kaisen, Vol. 8|8|8|/viz/jujutsu-kaisen/jujutsu-kaisen-08.jpg|192|9.99|USD|2021-02-02|Yuji Itadori and his classmates are fighting two of the three reincarnated Cursed Womb: Death Paintings brothers. Meanwhile, Megumi Fushiguro loses consciousness after finally defeating a special grade curse that possessed a Sukuna finger! Whoever wins the fight between Itadori and the brothers will be the one to secure the prized finger!|978-1-9747-1871-9|1|false
Jujutsu Kaisen, Vol. 9|9|9|/viz/jujutsu-kaisen/jujutsu-kaisen-09.jpg|192|9.99|USD|2021-04-06|Satoru Gojo and Suguru Geto have been assigned a mission to escort the Star Plasma Vessel to Master Tengen. When they’re ambushed by Toji Fushiguro, a mercenary known as the Sorcerer Killer, will Gojo and Geto survive? And will this be the turning point where Gojo becomes the world's strongest exorcist while Geto embraces a life of ruin and rebellion?|978-1-9747-1872-6|1|false
