NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
My Hero Academia, Vol. 1|1|1|/viz/my-hero-academia/my-hero-academia-01.jpg|192|9.99|USD|2015-08-04|Middle school student Izuku Midoriya wants to be a hero more than anything, but he hasn’t got an ounce of power in him. With no chance of ever getting into the prestigious U.A. High School for budding heroes, his life is looking more and more like a dead end. Then an encounter with All Might, the greatest hero of them all, gives him a chance to change his destiny…|978-1-4215-8269-6|1|false
My Hero Academia, Vol. 2|2|2|/viz/my-hero-academia/my-hero-academia-02.jpg|208|9.99|USD|2015-11-03|Getting into U.A. High School was difficult enough, but it was only the beginning of Midoriya’s long road toward becoming a superhero. The new students all have amazing powers, and although Midoriya has inherited All Might’s abilities, he can barely control them. What’s more, the first-year students are told they will have to compete just to avoid being expelled!|978-1-4215-8270-2|1|false
My Hero Academia, Vol. 3|3|3|/viz/my-hero-academia/my-hero-academia-03.jpg|192|9.99|USD|2016-02-02|A sinister group of villains has attacked the first-year U.A. students, but their real target is All Might. It’s all that Midoriya and his classmates can do to hold them off until reinforcements arrive. All Might joins the battle to protect the kids, but as his power runs out, he may be forced into an extremely dangerous bluff!|978-1-4215-8510-9|1|false
My Hero Academia, Vol. 4|4|4|/viz/my-hero-academia/my-hero-academia-04.jpg|192|9.99|USD|2016-05-03|The U.A. High sports festival is a chance for the budding heroes to show their stuff and find a superhero mentor. The students have already struggled through a grueling preliminary round, but now they have to team up to prove they’re capable of moving on to the next stage. The whole country is watching, and so are the shadowy forces that attacked the academy…|978-1-4215-8511-6|1|false
My Hero Academia, Vol. 5|5|5|/viz/my-hero-academia/my-hero-academia-05.jpg|192|9.99|USD|2016-08-02|The final stages of the U.A. High sports festival promise to be explosive, as Uraraka takes on Bakugo in a head-to-head match! Bakugo never gives anyone a break, and the crowd holds its breath as the battle begins. The finals will push the students of Class 1-A to their limits and beyond!|978-1-4215-8702-8|1|false
My Hero Academia, Vol. 6|6|6|/viz/my-hero-academia/my-hero-academia-06.jpg|192|9.99|USD|2016-11-01|In the aftermath of the sports festival, the Class 1-A students begin their internships. Midoriya goes to study under Gran Torino, who was once All Might’s mentor. Gran Torino appears to be a washed-up nutjob, but the old hero still has more moves than a football team, and Midoriya has a lot to learn! Elsewhere, the League of Villains enacts another sinister plot and unleashes a terrifying new enemy!|978-1-4215-8866-7|1|false
My Hero Academia, Vol. 7|7|7|/viz/my-hero-academia/my-hero-academia-07.jpg|192|9.99|USD|2017-02-07|Midoriya has learned a few tricks from Gran Torino, but some things just have to be experienced to be understood. Even though he’s not ready, when the League of Villains attacks in the town of Hosu, Midoriya rushes to help Ida, who is engaged in a life-and-death struggle with Hero Killer Stain. Stain has some very particular ideas about heroes and their place in society—and he means to purge the world of every hero he can find!|978-1-4215-9040-0|1|false
My Hero Academia, Vol. 8|8|8|/viz/my-hero-academia/my-hero-academia-08.jpg|192|9.99|USD|2017-05-02|The U.A. students have reached the practical portion of their final exam, but they didn’t expect to have to beat their own teachers in order to pass! Paired with his archrival Bakugo, Midoriya has to try to take on none other than All Might himself. Working with Bakugo is one thing, but is giving everything he’s got to beat All Might more than Midoriya can handle? And in a nearby arena, Yaoyorozu and Todoroki endure a similar struggle. Meanwhile, a sinister new adversary prepares to make a move…|978-1-4215-9167-4|1|false
My Hero Academia, Vol. 9|9|9|/viz/my-hero-academia/my-hero-academia-09.jpg|192|9.99|USD|2017-08-01|It’s off to summer camp for Midoriya and the U.A. students! But this is no ordinary vacation—it’s high-impact training where the students are expected to develop their Quirks even further! The teachers have set up some tough challenges, but none will be as difficult and as life changing as the threat a new group of enemies poses. What’s even worse is who the villains’ target is and why…|978-1-4215-9340-1|1|false
My Hero Academia, Vol. 10|10|10|/viz/my-hero-academia/my-hero-academia-10.jpg|192|9.99|USD|2017-11-07|The League of Villains has kidnapped Bakugo, and the resulting negative publicity has thrown U.A. into a huge uproar. With the public’s trust in heroes threatened, the faculty convenes to figure out what to do. But Midoriya and the students of Class 1-A have plans of their own—an operation to rescue Bakugo that could get them thrown out of school!|978-1-4215-9437-8|1|false
My Hero Academia, Vol. 11|11|11|/viz/my-hero-academia/my-hero-academia-11.jpg|208|9.99|USD|2018-02-06|Bakugo’s abduction by the League of Villains was a carefully calculated move designed to draw out the heroes—All Might in particular—and destroy them. Midoriya and his friends set out on a rescue mission that eventually pulls in not only All Might but also several other heroes! The casualties mount, until at last the mastermind of the plot appears—All for One, the only villain powerful enough to take on All Might head-to-head and possibly win!|978-1-4215-9583-2|1|false
My Hero Academia, Vol. 12|12|12|/viz/my-hero-academia/my-hero-academia-12.jpg|192|9.99|USD|2018-04-03|Class 1-A is working on developing their ultimate moves—a process that will test their strength and creativity in all-new ways! To help them out, Mei Hatsume, a student from the Support Course, is brought in to develop improvements to their costumes. The attention from Mei might be more than Midoriya can handle, but he’ll need every edge he can get to pass the next hurdle for the students of U.A.—the Provisional Licensing Exam!|978-1-4215-9701-0|1|false
My Hero Academia, Vol. 13|13|13|/viz/my-hero-academia/my-hero-academia-13.jpg|192|9.99|USD|2018-06-05|The students of Class 1-A have reached another milestone—the Provisional Licensing Exam. After making it through the first part of the test, they ready themselves for the next phase, which takes place in a simulated disaster area. Midoriya and his friends have to rescue as many victims as they can, and although the students of rival Shiketsu High are technically supposed to be helping, competition between them is fierce and even dangerous! As the scenario unfolds and villains arrive to shake things up, the U.A. students will have to find new ways to work with each other and make use of their Quirks.|978-1-4215-9803-1|1|false
My Hero Academia, Vol. 14|14|14|/viz/my-hero-academia/my-hero-academia-14.jpg|208|9.99|USD|2018-08-07|Summer vacation is over, and it’s back to school for the students of U.A. High! But before classes can get started, Midoriya and Bakugo need to settle a beef between them that’s been a long time coming. Even if they can get past this bump in the road on the way to becoming superheroes, the hurdles will just keep getting higher and higher—the hero work studies in the upcoming year will bring them even closer to their goal…or their destruction!|978-1-4215-9947-2|1|false
My Hero Academia, Vol. 15|15|15|/viz/my-hero-academia/my-hero-academia-15.jpg|192|9.99|USD|2018-10-02|A new and sinister enemy appears in the form of Chisaki Kai, the young leader of the Hassaikai yakuza gang. Looking to fill the power vacuum left by All For One, Chisaki makes contact with the League of Villains to gain possible support. When a chance run-in with a scared little girl brings Midoriya and his mentor Mirio face-to-face with Chisaki, none of them have any idea how much their lives are about to change…|978-1-9747-0100-1|1|false
My Hero Academia, Vol. 16|16|16|/viz/my-hero-academia/my-hero-academia-16.jpg|192|9.99|USD|2018-12-04|The Hassaikai crime gang, led by the young boss Chisaki, has been working on a plan to distribute a Quirk-destroying drug. The key to this evil scheme is the young girl Eri, held prisoner in Chisaki’s hideout. Nighteye asks other heroes to form a team to launch a rescue attempt—and the students of Class 1-A are going into the lion’s den with them! But Nighteye, who can see the future, refuses to look at the fates of anyone on the mission…|978-1-9747-0255-8|1|false
My Hero Academia, Vol. 17|17|17|/viz/my-hero-academia/my-hero-academia-17.jpg|192|9.99|USD|2019-02-05|The raid on the Hassaikai gang is in full swing, and the heroes plunge into the darkness toward their ultimate confrontation. Lemillion engages Overhaul in an attempt to rescue Eri, and the battle reaches a new level of intensity. Midoriya is desperate to help his mentor, but what fate has Nighteye foreseen for them all in this clash? And does the key to Midoriya’s survival lie in Eri herself?|978-1-9747-0256-5|1|false
My Hero Academia, Vol. 18|18|18|/viz/my-hero-academia/my-hero-academia-18.jpg|192|9.99|USD|2019-04-02|Midoriya is in the fight of his life—an all-out battle with Overhaul, who has unleashed his terrifying power. Midoriya is matching it with his own power, pushing One For All to 100 percent. Only by relying on Eri’s restoration Quirk can he hope to take down Overhaul. If Midoriya manages to walk away from this fight, his life will never be the same again…|978-1-9747-0437-8|1|false
My Hero Academia, Vol. 19|19|19|/viz/my-hero-academia/my-hero-academia-19.jpg|192|9.99|USD|2019-06-04|In the wake of tragedy, Class 1-A prepares for the upcoming culture festival. While the students are busy planning for success, other forces are at work with their own agendas, and Midoriya, amid the preparations, continues to train with All Might. But when he runs into the failed hero Gentle Criminal, what lesson will he learn?|978-1-9747-0460-6|1|false
My Hero Academia, Vol. 20|20|20|/viz/my-hero-academia/my-hero-academia-20.jpg|200|9.99|USD|2019-08-06|With All Might in retirement, Endeavor takes up the mantle of the number one hero, a position he’s coveted for years. But now that he has it, he’s not entirely comfortable with the responsibilities and risks that come with it—both heroes and villains are always gunning for number one. What does the future hold for Midoriya, and what do his dreams about One For All mean?|978-1-9747-0773-7|1|false
My Hero Academia, Vol. 21|21|21|/viz/my-hero-academia/my-hero-academia-21.jpg|200|9.99|USD|2019-10-01|Endeavor and Dabi’s battle rages across the city as Endeavor fights to solidify his new position as the number one hero. Hawks provides support, but where do his loyalties really lie? Midoriya experiences a cryptic dream about the past—what secrets do the previous wielders of One For All have to show him? Then Class 1-A’s joint battle training with Class B begins.|978-1-9747-0950-2|1|false
My Hero Academia, Vol. 22|22|22|/viz/my-hero-academia/my-hero-academia-22.jpg|192|9.99|USD|2019-12-03|In the third match of the joint battle training, the students of Class 1-A have their hands full dealing with the unexpected creativity of Class B’s Quirk use. These matches give everyone a chance to reflect on exactly where they all stand in relation to each other, and on the events in their lives that have brought them to this point. Then it’s time for Bakugo to show what he’s learned…|978-1-9747-0965-6|1|false
My Hero Academia, Vol. 23|23|23|/viz/my-hero-academia/my-hero-academia-23.jpg|200|9.99|USD|2020-02-04|The final match of the battle training between Class A and Class B continues. Zapped by Shinso’s mind control, Midoriya enters a fugue state where he meets one of the former users of One For All. What powerful Quirks have yet to be unlocked? Midoriya will surely need the full potential of One For All someday, but in the meantime, a new enemy—the Meta Liberation Army—begins to make its moves.|978-1-9747-0966-3|1|false
My Hero Academia, Vol. 24|24|24|/viz/my-hero-academia/my-hero-academia-24.jpg|192|9.99|USD|2020-06-02|A new player emerges in the underground world of villains in the form of the Meta Liberation Army. Led by the CEO of the Detnerat Corporation, the MLA is preparing for a new metahuman revolution. In their eyes, the League of Villains is an obstacle to be removed, but Tomura and his band of miscreants aren’t about to go down quietly. It’s army versus league in all-out war, and dominance must be established.|978-1-9747-1120-8|1|false
My Hero Academia, Vol. 25|25|25|/viz/my-hero-academia/my-hero-academia-25.jpg|192|9.99|USD|2020-10-06|Since the terrifying incident when Tomura’s Quirk manifested, only the greatest villain of them all, All For One, has been able to speak to the broken young boy’s heart. The consequences of that fateful meeting play out in the present as Tomura and Re-Destro, the leader of the Meta Liberation Army, battle for supremacy—and if it takes leveling a whole city to sort out who’s on top, so be it!|978-1-9747-1762-0|1|false
My Hero Academia, Vol. 26|26|26|/viz/my-hero-academia/my-hero-academia-26.jpg|200|9.99|USD|2021-01-05|Hawks and the Safety Commission have managed to get their hands on some top secret information. A big villain attack is coming, and the heroes must do all they can to prepare. As part of these preparations, Eraser Head and Present Mic pay a visit to Tartarus prison, while Midoriya, Bakugo and Todoroki begin training under Endeavor in order to become fighters who can stand on their own. In the meantime, the boys will have to survive a dinner party at the Todoroki household!|978-1-9747-1977-8|1|false
My Hero Academia, Vol. 27|27|27|/viz/my-hero-academia/my-hero-academia-27.jpg|184|9.99|USD|2021-04-06|The confrontation between the heroes and the villains of the Paranormal Liberation Front is about to kick off! With so much at stake, even the students of U.A. have joined the heroes to help in the coming battles. Within the PLF, Hawks continues to play a dangerous game as a double agent, but the villains have fearsome resources of their own, including whatever lurks in the doctor’s lab. Plus, with every moment that passes, Tomura Shigaraki comes closer to his ultimate form… When it all gets started, there won’t be any going back!|978-1-9747-2101-6|1|false
My Hero Academia, Vol. 28|28|28|/viz/my-hero-academia/my-hero-academia-28.jpg|184|9.99|USD|2021-06-01|The all-out war against the Paranormal Liberation Front continues at the hospital and the mountain villa! Mirko desperately battles High-Ends in order to reach Tomura’s stasis tank, knowing exactly how much is at stake if she fails. At the PLF hideout, Dabi is determined to roast Hawks, but Tokoyami isn’t about to let his mentor fall. Meanwhile, while helping to evacuate the city, Midoriya senses an ominous presence in the hospital… With things going from bad to worse, and the heroes’ forces battered and stretched thin, Midoriya realizes the time has come for him to join the fight, even if it may be his last.|978-1-9747-2288-4|1|false
My Hero Academia, Vol. 29|29|29|/viz/my-hero-academia/my-hero-academia-29.jpg|184|9.99|USD|2021-09-07|Tomura Shigaraki has finally awakened, and as he begins to unleash his savage powers, the heroes realize it’s going to take everyone and everything they have to stop him. Several heroes have been lost already, and even as the number one hero, Endeavor, takes on Tomura, Midoriya and Bakugo must put themselves on the line. Meanwhile, the massive villain Gigantomachia rampages toward Jaku City, and it seems nothing can stop him—but the students of U.A. are determined to succeed or die trying…|978-1-9747-2510-6|1|false
My Hero Academia, Vol. 30|30|30|/viz/my-hero-academia/my-hero-academia-30.jpg|200|9.99|USD|2022-03-01|Midoriya and Tomura have finally come to blows and the battle intensifies as Tomura tries to steal One For All. The clash extends into the One For All spirit realm, where the previous users and even All For One join the struggle. While the battle for the ultimate Quirk rages, the other heroes and villains duke it out. Ochaco finds herself taking on Toga, who doesn’t want a fight so much as a heart-to-heart? Then, Dabi finally arrives in Jaku City with a shocking revelation…|978-1-9747-2715-5|1|false
My Hero Academia, Vol. 31|31|31|/viz/my-hero-academia/my-hero-academia-31.jpg|216|9.99|USD|2022-07-05|In the aftermath of the battle in Jaku City, the forces of good are reeling. With so many heroes dead, it seems like society itself is on the verge of collapse. Although Midoriya and the others have managed to drive off Tomura, All For One is only just getting started. As the dust settles, the Todoroki family must finally face their troubled past, and Midoriya begins to understand what One For All really is and that reaching his full potential might test his convictions…|978-1-9747-3212-8|1|false
My Hero Academia, Vol. 32|32|32|/viz/my-hero-academia/my-hero-academia-32.jpg|216|9.99|USD|2022-10-04|With society wavering on the verge of collapse in the wake of the recent chaos, Midoriya has left his school and friends behind in order to save whatever lives he can out on the streets and lure All For One into the open. But the mastermind villain has his own plans and sends villains for hire after Midoriya, including one familiar face. Chief among these hired guns is Lady Nagant—a fallen former hero who delivers plenty of bang for her buck.|978-1-9747-3236-4|1|false
My Hero Academia, Vol. 33|33|33|/viz/my-hero-academia/my-hero-academia-33.jpg|192|9.99|USD|2023-02-07|Knowing that All For One has put a target on his back, Midoriya has left U.A., hoping to draw the villains away from everyone he cares about. But his friends know the newest bearer of One For All shouldn’t handle this burden alone, so they set out to bring him back. The forces of good need every hero they can find as the unfolding crisis in Japan now has global ramifications, with even foreign heroes itching to join the fight…|978-1-9747-3474-0|1|false
My Hero Academia, Vol. 34|34|34|/viz/my-hero-academia/my-hero-academia-34.jpg|192|9.99|USD|2023-05-02|All For One’s will has taken root in Tomura’s mind, and this new entity is now a global threat. Even so, the United Nations is hesitant to dispatch heroes to Japan, but Star and Stripe—the U.S.A.’s number one hero—arrives to tackle this menace head-on. In the skies over the Pacific, the combatants size each other up, trying to gain an advantage, but there’s no telling who’ll be left standing after the dust settles on this epic duel…|978-1-9747-3663-8|1|false
