NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Yona of the Dawn, Vol. 1|1|1|/viz/yuna-of-the-dawn/yuna-of-the-dawn-01.jpg|200|9.99|USD|2016-08-02|Yona reels from the shock of witnessing a loved one’s murder and having to fight for her life. With Hak’s help, she flees the palace and struggles to survive while evading her enemy’s forces. But where will this displaced princess go when all the paths before her are uncertain?|978-1-4215-8781-3|1|FALSE
Yona of the Dawn, Vol. 2|2|2|/viz/yuna-of-the-dawn/yuna-of-the-dawn-02.jpg|192|9.99|USD|2016-10-04|While on the run, Yona and Hak head to Hak’s hometown, where she attempts to heal her broken heart. However, she can’t rest there for long once she discovers that Su-won may soon become king! What will Yona choose to do in the wake of this news?|978-1-4215-8783-7|1|FALSE
Yona of the Dawn, Vol. 3|3|3|/viz/yuna-of-the-dawn/yuna-of-the-dawn-03.jpg|192|9.99|USD|2016-12-06|Yona and Hak set out on a journey to find a priest who can see the future. After they get severely injured falling from a cliff, a boy named Yun and his guardian Ik-su nurse them back to health—and Ik-su happens to be a priest! When Yona tells him that she wishes to protect the lives of those who are precious to her, what path will Ik-su show her?|978-1-4215-8784-4|1|FALSE
Yona of the Dawn, Vol. 4|4|4|/viz/yuna-of-the-dawn/yuna-of-the-dawn-04.jpg|192|9.99|USD|2017-02-07|While on a quest to find the Four Legendary Dragon Warriors, Yona and her friends meet Gija, the White Dragon. Gija uses his power to detect the other Dragons, but locating the Blue Dragon proves to be more difficult than expected, and the group runs into a string of disasters!|978-1-4215-8785-1|1|FALSE
Yona of the Dawn, Vol. 5|5|5|/viz/yuna-of-the-dawn/yuna-of-the-dawn-05.jpg|192|9.99|USD|2017-04-04|An earthquake suddenly hits the Village of the Blue Dragon, and Yona and her friends are trapped! Will Yona manage to escape safely? And will the Blue Dragon join her on her journey? Meanwhile, Gija senses the presence of the Green Dragon!|978-1-4215-8786-8|1|FALSE
Yona of the Dawn, Vol. 6|6|6|/viz/yuna-of-the-dawn/yuna-of-the-dawn-06.jpg|192|9.99|USD|2017-06-06|Yona finally meets Jaeha, the Green Dragon. Unfortunately, Jaeha has no desire to follow her on her quest! Yona offers to help Jaeha and his fellow pirates, so Captain Gi-Gan challenges her with a perilous quest to test her courage. Will Yona be able to pick the Senju Herb from the steep cliff face of the Vanishing Cape?|978-1-4215-8787-5|1|FALSE
Yona of the Dawn, Vol. 7|7|7|/viz/yuna-of-the-dawn/yuna-of-the-dawn-07.jpg|192|9.99|USD|2017-08-01|In order to free the port town of Awa from an evil tyrant, Yona and her friends team up with Jaeha, the Green Dragon, and his fellow pirates. While Hak and the others are fighting Yang Kum-ji’s forces, Yona and Yun infiltrate a human trafficking operation! When the enemy closes in and things look dire, what will Yona do?|978-1-4215-8788-2|1|FALSE
Yona of the Dawn, Vol. 8|8|8|/viz/yuna-of-the-dawn/yuna-of-the-dawn-08.jpg|192|9.99|USD|2017-10-03|Jaeha, the Green Dragon, joins Yona’s party after their harrowing adventure together in Awa. Now the group must find the Yellow Dragon—the last dragon from the prophecy that Ik-su told Yona! Meanwhile, Su-won visits Chishin Palace and tells General Geun-tae, chief of the Earth Tribe, that he should hold a mock battle and festival. But what could be the true intent behind Su-won’s proposition?|978-1-4215-8789-9|1|FALSE
Yona of the Dawn, Vol. 9|9|9|/viz/yuna-of-the-dawn/yuna-of-the-dawn-09.jpg|192|9.99|USD|2017-12-05|Zeno, the Yellow Dragon, joins Yona’s party, and now the Four Dragons are finally assembled! Yona and her friends head to Yun’s birthplace in the land of the Fire Tribe. The people in the area not only have to deal with famine, but are forced into poverty by heavy taxes. What measures will Yona and her friends take to protect the town from oppressive government officials?|978-1-4215-8790-5|1|FALSE
Yona of the Dawn, Vol. 10|10|10|/viz/yuna-of-the-dawn/yuna-of-the-dawn-10.jpg|192|9.99|USD|2018-02-06|Yona and her friends have taken to calling themselves bandits and have been protecting Fire Tribe villages from cruel government officials. Meanwhile, Kang Tae-jun, the Fire Tribe chief’s second son, goes to Katan Village with orders to eliminate the bandits there. He still believes that he’s killed Yona—but suddenly, he hears her voice! What will happen when they come face-to-face again?|978-1-4215-8791-2|1|FALSE
Yona of the Dawn, Vol. 11|11|11|/viz/yuna-of-the-dawn/yuna-of-the-dawn-11.jpg|192|9.99|USD|2018-04-03|Yona and her friends head out in search of a crop that can grow even in barren land. On their travels, Hak becomes filled with grim determination while training Yona in swordsmanship. Yona notices that he’s acting differently and tries to cheer him up, but what Hak does next leaves her stunned!|978-1-4215-8792-9|1|FALSE
Yona of the Dawn, Vol. 12|12|12|/viz/yuna-of-the-dawn/yuna-of-the-dawn-12.jpg|200|9.99|USD|2018-06-05|Yona returns to her homeland when the Hazara Clan, a powerful family in the nation of Kai, invades the Kingdom of Kohka! How will the Fire Tribe defend against this audacious attack, and what will Yona resort to in order to protect Saika?!|978-1-4215-8793-6|1|FALSE
Yona of the Dawn, Vol. 13|13|13|/viz/yuna-of-the-dawn/yuna-of-the-dawn-13.jpg|192|9.99|USD|2018-08-07|Kang Su-jin, chief of the Fire Tribe, has been plotting to become the ruler of the Kingdom of Kohka—and now he’s started an uprising by attacking Su-won at Hiryuu Palace! As the armies clash on the battlefield, will Yona and her friends join the fray with so much on the line?!|978-1-4215-8794-3|1|FALSE
Yona of the Dawn, Vol. 14|14|14|/viz/yuna-of-the-dawn/yuna-of-the-dawn-14.jpg|192|9.99|USD|2018-10-02|Yona’s travels take her to the Water Tribe’s territory, which is said to be the most beautiful area in the Kingdom of Kohka. But despite this region’s reputation, a drug known as “nadai” has spread throughout the land. When one of Yona’s friends becomes affected by nadai, how far will Yona go to help him?|978-1-4215-8796-7|1|FALSE
